Time,RawPot,RawTemp
0,0,521
1,0,522
2,0,522
3,0,521
4,35,521
5,108,521
6,195,522
7,255,521
8,255,521
9,255,521
10,255,521
11,255,521
12,255,521
13,255,521
14,255,522
15,255,520
16,255,520
17,255,520
18,255,520
19,255,519
20,255,520
21,255,519
22,255,520
23,255,520
24,255,520
25,255,520
26,255,519
27,255,519
28,255,519
29,255,519
30,255,519
31,255,519
32,255,519
33,255,519
34,255,518
35,255,519
36,255,518
37,255,518
38,255,518
39,255,518
40,255,519
41,255,518
42,255,518
43,255,518
44,255,518
45,255,518
46,255,518
47,255,517
48,255,517
49,255,517
50,255,517
51,255,516
52,255,517
53,255,516
54,255,517
55,255,516
56,255,516
57,255,516
58,255,516
59,255,517
60,255,516
61,255,516
62,255,516
63,255,516
64,255,516
65,255,515
66,255,515
67,255,515
68,255,514
69,255,515
70,255,515
71,255,515
72,255,515
73,255,515
74,255,515
75,255,514
76,255,515
77,255,514
78,255,515
79,255,514
80,255,514
81,255,514
82,255,514
83,255,514
84,255,513
85,255,513
86,255,513
87,255,513
88,255,513
89,255,513
90,255,512
91,255,513
92,255,512
93,255,512
94,255,512
95,255,512
96,255,512
97,255,512
98,255,512
99,255,512
100,255,511
101,255,512
102,255,512
103,255,511
104,255,512
105,255,511
106,255,511
107,255,512
108,255,511
109,255,511
110,255,512
111,255,511
112,255,511
113,255,511
114,255,511
115,255,510
116,255,510
117,255,510
118,255,510
119,255,510
120,255,510
121,255,510
122,255,510
123,255,510
124,255,510
125,255,509
126,255,509
127,255,510
128,255,509
129,255,509
130,255,509
131,255,509
132,255,509
133,255,509
134,255,509
135,255,508
136,255,509
137,255,508
138,255,508
139,255,508
140,255,508
141,255,508
142,255,507
143,255,508
144,255,508
146,255,508
147,255,508
148,255,508
149,255,507
150,255,508
151,255,508
152,255,508
153,255,508
154,255,508
155,255,507
156,255,507
157,255,507
158,255,507
159,255,507
160,255,507
161,255,508
162,255,507
163,255,506
164,255,508
165,255,507
166,255,507
167,255,507
168,255,507
169,255,506
170,255,506
171,255,507
172,255,506
173,255,505
174,255,507
175,255,506
176,255,505
177,255,507
178,255,506
179,255,505
180,255,506
181,255,505
182,255,505
183,255,505
184,255,506
185,255,505
186,255,504
187,255,505
188,255,505
189,255,505
190,255,505
191,255,505
192,255,504
193,255,505
194,255,505
195,255,505
196,255,505
197,255,504
198,255,504
199,255,504
200,255,504
201,255,504
202,255,504
203,255,505
204,255,504
205,255,504
206,255,504
207,255,504
208,255,504
209,255,504
210,255,504
211,255,504
212,255,504
213,255,504
214,255,504
215,255,504
216,255,504
217,255,503
218,255,504
219,255,503
220,255,503
221,255,503
222,255,504
223,255,503
224,255,503
225,255,503
226,255,503
227,255,503
228,255,503
229,255,503
230,255,503
231,255,502
232,255,503
233,255,503
234,255,502
235,255,503
236,255,503
237,255,503
238,255,503
239,255,503
240,255,503
241,255,502
242,255,503
243,255,502
244,255,502
245,255,502
246,255,502
247,255,502
248,255,502
249,255,502
250,255,502
251,255,502
252,255,502
253,255,502
254,255,502
255,255,502
256,255,502
257,255,502
258,255,502
259,255,502
260,255,501
261,255,502
262,255,502
263,255,501
264,255,502
265,255,501
266,255,501
267,255,501
268,255,501
269,255,501
270,255,501
271,255,501
272,255,501
273,255,501
274,255,501
275,255,501
276,255,501
277,255,501
278,255,501
279,255,501
280,255,501
281,255,501
283,255,501
284,255,500
285,255,501
286,255,501
287,255,501
288,255,501
289,255,501
290,255,500
291,255,501
292,255,500
293,255,500
294,255,500
295,255,500
296,255,500
297,255,500
298,255,500
299,255,500
300,255,500
301,255,500
302,255,500
303,255,500
304,255,500
305,255,500
306,255,500
307,255,499
308,255,500
309,255,500
310,255,500
311,255,500
312,255,500
313,255,500
314,255,500
315,255,500
316,255,500
317,255,500
318,255,500
319,255,500
320,255,500
321,255,499
322,255,500
323,255,499
324,255,500
325,255,499
326,255,499
327,255,500
328,255,499
329,255,499
330,255,500
331,255,499
332,255,499
333,255,499
334,255,500
335,255,499
336,255,499
337,255,499
338,255,499
339,255,499
340,255,499
341,255,499
342,255,499
343,255,499
344,255,499
345,255,499
346,255,499
347,255,499
348,255,499
349,255,499
350,255,499
351,255,499
352,255,499
353,255,499
354,255,499
355,255,499
356,255,499
357,255,499
358,255,499
359,255,499
360,255,498
361,255,499
362,255,499
363,255,498
364,255,498
365,255,499
366,255,499
367,255,498
368,255,498
369,255,498
370,255,498
371,255,498
372,255,499
373,255,498
374,255,498
375,255,498
376,255,498
377,255,498
378,255,498
379,255,498
380,255,498
381,255,498
382,255,498
383,255,498
384,255,498
385,255,498
386,255,498
387,255,498
388,255,498
389,255,498
390,255,498
391,255,498
392,255,498
393,255,498
394,255,498
395,255,498
396,255,497
397,255,498
398,255,499
399,255,497
400,255,498
401,255,498
402,255,498
403,255,498
404,255,498
405,255,498
406,255,498
407,255,498
408,255,498
409,255,497
410,255,498
411,255,498
412,255,498
413,255,498
414,255,497
415,255,497
416,255,497
417,255,498
418,255,497
420,255,497
421,255,498
422,255,497
423,255,497
424,255,497
425,255,497
426,255,497
427,255,497
428,255,497
429,255,497
430,255,497
431,255,496
432,255,498
433,255,497
434,255,496
435,255,498
436,255,497
437,255,497
438,255,498
439,255,497
440,255,497
441,255,497
442,255,497
443,255,497
444,255,497
445,255,497
446,255,497
447,255,497
448,255,498
449,255,497
450,255,496
451,255,498
452,255,497
453,255,497
454,255,497
455,255,497
456,255,497
457,255,497
458,255,497
459,255,497
460,255,497
461,255,497
462,255,497
463,255,497
464,255,497
465,255,497
466,255,497
467,255,497
468,255,497
469,255,497
470,255,497
471,255,497
472,255,497
473,255,497
474,255,497
475,255,497
476,255,496
477,255,497
478,255,497
479,255,496
480,255,497
481,255,496
482,255,497
483,255,497
484,255,496
485,255,496
486,255,496
487,255,496
488,255,496
489,255,496
490,255,497
491,255,496
492,255,496
493,255,496
494,255,496
495,255,496
496,255,496
497,255,496
498,255,496
499,255,496
500,255,496
501,255,496
502,255,497
503,255,496
504,255,496
505,255,496
506,255,496
507,255,496
508,255,496
509,255,496
510,255,496
511,255,496
512,255,496
513,255,496
514,255,496
515,255,496
516,255,496
517,255,496
518,255,496
519,255,497
520,255,496
521,255,496
522,255,495
523,255,496
524,255,496
525,255,496
526,255,497
527,255,496
528,255,495
529,255,496
530,255,496
531,255,496
532,255,496
533,255,496
534,255,496
535,255,496
536,255,496
537,255,496
538,255,496
539,255,496
540,255,496
541,255,495
542,255,496
543,255,496
544,255,495
545,255,496
546,255,495
547,255,495
548,255,495
549,255,496
550,255,495
551,255,496
552,255,496
553,255,495
554,255,495
555,255,496
556,255,495
558,255,495
559,255,495
560,255,496
561,255,495
562,255,495
563,255,495
564,255,495
565,255,495
566,255,496
567,255,495
568,255,495
569,255,495
570,255,495
571,255,496
572,255,495
573,255,496
574,255,495
575,255,495
576,255,496
577,255,495
578,255,495
579,255,496
580,255,495
581,255,496
582,255,496
583,255,496
584,255,496
585,255,496
586,255,495
587,255,495
588,255,496
589,255,496
590,255,496
591,255,496
592,255,496
593,255,496
594,255,496
595,255,496
596,255,495
597,255,496
598,255,496
599,255,495
600,255,496
601,255,495
602,255,496
603,255,495
604,255,496
605,255,495
606,255,495
607,255,496
608,255,495
609,255,495
610,255,496
611,255,495
612,255,495
613,255,495
614,255,495
615,255,495
616,255,495
617,255,496
618,255,495
619,255,495
620,255,495
621,255,496
622,255,495
623,255,495
624,255,496
625,255,495
626,255,495
627,255,495
628,255,495
629,255,495
630,255,495
631,255,495
632,255,495
633,255,495
634,255,495
635,255,495
636,255,495
637,255,495
638,255,495
639,255,495
640,255,495
641,255,495
642,255,495
643,255,495
644,255,495
645,255,495
646,255,496
647,255,495
648,255,495
649,255,495
650,255,495
651,255,495
652,255,494
653,255,495
654,255,494
655,255,495
656,255,495
657,255,495
658,255,495
659,255,495
660,255,495
661,255,495
662,255,495
663,255,495
664,255,495
665,255,495
666,255,495
667,255,494
668,255,495
669,255,495
670,255,495
671,255,495
672,255,495
673,255,495
674,255,495
675,255,495
676,255,495
677,255,494
678,255,495
679,255,495
680,255,495
681,255,494
682,255,495
683,255,495
684,255,494
685,255,495
686,255,495
687,255,495
688,255,495
689,255,494
690,255,495
691,255,495
692,255,495
693,255,495
694,255,495
696,255,495
697,255,495
698,255,495
699,255,495
700,255,495
701,255,495
702,255,495
703,255,494
704,255,494
705,255,494
706,255,494
707,255,495
708,255,494
709,255,494
710,255,494
711,255,494
712,255,494
713,255,494
714,255,495
715,255,494
716,255,494
717,255,494
718,255,494
719,255,494
720,255,494
721,255,494
722,255,494
723,255,494
724,255,494
725,255,494
726,255,494
727,255,494
728,255,494
729,255,494
730,255,494
731,255,494
732,255,494
733,255,495
734,255,494
735,255,494
736,255,494
737,255,494
738,255,494
739,255,494
740,255,494
741,255,494
742,255,495
743,255,494
744,255,494
745,255,494
746,255,494
747,255,494
748,255,494
749,255,494
750,255,494
751,255,494
752,255,494
753,255,494
754,255,494
755,255,494
756,255,494
757,255,493
758,255,494
759,255,494
760,255,494
761,255,495
762,255,494
763,255,494
764,255,494
765,255,494
766,255,494
767,255,494
768,255,494
769,255,494
770,255,494
771,255,494
772,255,494
773,255,493
774,255,494
775,255,494
776,255,494
777,255,494
778,255,494
779,255,494
780,255,494
781,255,495
782,255,494
783,255,493
784,255,495
785,255,494
786,255,494
787,255,494
788,255,494
789,255,494
790,255,494
791,255,494
792,255,494
793,255,494
794,255,494
795,255,494
796,255,494
797,255,494
798,255,494
799,255,493
800,255,495
801,255,494
802,255,493
803,255,495
804,255,494
805,255,494
806,255,494
807,255,494
808,255,494
809,255,493
810,255,494
811,255,494
812,255,494
813,255,494
814,255,494
815,255,493
816,255,494
817,255,494
818,255,494
819,255,494
820,255,494
821,255,494
822,255,494
823,255,494
824,255,494
825,255,494
826,255,494
827,255,494
828,255,494
829,255,494
830,255,494
832,255,493
833,255,494
834,255,494
835,255,493
836,255,494
837,255,494
838,255,494
839,255,494
840,255,494
841,255,493
842,255,494
843,255,494
844,255,493
845,255,494
846,255,494
847,255,494
848,255,494
849,255,493
850,255,493
851,255,494
852,255,493
853,255,493
854,255,493
855,255,493
856,255,494
857,255,493
858,255,493
859,255,493
860,255,493
861,255,493
862,255,494
863,255,493
864,255,493
865,255,493
866,255,493
867,255,493
