Time,Value
296,212
306,212
315,212
324,213
333,213
343,214
352,214
362,215
371,217
380,217
390,219
399,219
408,220
417,220
427,219
437,220
446,220
455,221
464,221
474,220
483,221
492,221
502,222
512,217
521,211
530,204
539,195
548,188
558,184
568,184
577,184
586,182
595,182
605,181
614,182
623,181
633,181
643,181
652,180
661,181
670,180
679,175
689,165
699,153
708,143
717,132
727,128
736,126
745,125
754,125
764,123
774,122
783,122
792,122
801,123
811,121
820,121
830,122
839,122
848,120
858,117
867,115
876,111
885,108
896,107
905,107
914,107
923,105
932,105
942,105
951,105
960,105
970,104
979,104
989,105
998,105
1007,105
1017,112
1029,119
1039,124
1049,132
1059,138
1070,139
1080,141
1090,145
1101,151
1112,155
1122,158
1132,158
1142,156
1153,152
1164,148
1174,145
1184,152
1195,163
1205,176
1215,191
1225,205
1236,209
1247,209
1257,207
1267,201
1277,199
1288,199
1299,201
1309,206
1319,212
1330,215
1340,216
1350,217
1361,216
1372,214
1382,215
1392,218
1402,220
1413,224
1423,230
1434,233
1444,235
1455,234
1465,230
1475,225
1485,221
1497,220
1507,221
1517,221
1527,221
1538,220
1548,215
1558,209
1569,204
1580,198
1590,193
1600,191
1610,191
1620,194
1632,198
1642,203
1652,206
1662,205
1673,203
1683,192
