Time,Value
1422,422
1432,382
1443,347
1454,412
1464,467
1474,515
1484,560
1495,600
1505,636
1516,569
1526,514
1537,466
1547,422
1557,382
1567,348
1579,412
1589,467
1599,515
1609,560
1619,600
1630,636
1641,569
1651,514
1661,466
1672,422
1682,381
1692,347
1702,412
1714,467
1724,516
1734,560
1744,599
1755,637
1765,570
1776,514
1786,466
1797,422
1807,382
1817,347
1827,412
1838,467
1849,515
1859,560
1869,600
1880,637
1890,570
1900,514
1911,466
1922,422
1932,382
1942,346
1952,413
1963,467
1974,516
1984,560
1994,599
2004,636
2015,570
2025,514
2035,466
2046,421
2057,382
2067,346
2077,412
2087,467
2098,516
2109,559
2119,600
2129,636
2140,570
2150,515
2160,465
2170,422
2182,382
2192,347
2202,412
2212,467
2223,516
2233,559
2244,600
2254,636
2265,570
2275,514
2285,466
2295,422
2307,383
2317,346
2327,412
2337,467
2348,516
2358,560
2368,600
2379,636
2390,570
2400,515
2410,466
2420,422
2430,383
2442,346
2452,412
2462,468
2472,516
2483,559
2493,600
2503,638
2514,570
2525,514
2535,466
2545,422
2555,382
2566,346
2577,412
2587,467
2597,515
2608,561
2618,600
2628,636
2639,569
2650,514
2660,466
2670,422
2680,382
2691,346
2701,410
2712,467
2722,515
2733,560
2743,600
2753,636
2763,569
2775,514
2785,466
2795,421
2805,382
2816,346
2826,412
2836,468
2847,515
2857,559
2868,601
2878,636
2888,570
2898,515
2910,465
2920,422
2930,382
2940,346
2951,412
2961,467
2972,515
2982,560
2993,600
3003,636
3013,570
3023,515
3034,465
3045,422
3055,382
3065,345
3076,412
3086,467
3096,516
3107,560
3118,600
3128,636
3138,569
3148,514
3159,466
3169,421
3180,382
3190,346
3201,413
3211,468
3221,515
3231,560
3243,600
3253,636
3263,569
3273,515
3283,466
3294,422
3305,383
3315,347
3325,412
3336,467
3346,515
3356,560
3366,600
3378,636
3388,569
3398,515
3408,467
3419,422
3429,382
3440,347
3450,412
3461,466
3471,516
3481,559
3491,600
3502,635
3513,569
3523,517
3533,466
3544,421
3554,382
3564,346
3575,412
3586,467
3596,515
3606,559
3616,600
3627,636
3638,569
3648,515
3658,466
3668,422
3679,382
3689,346
3699,412
3710,467
3721,515
3731,560
3741,600
3751,636
3762,569
3773,515
3783,466
3793,422
3804,383
3814,347
3824,413
3834,467
3846,515
3856,560
3866,600
3876,635
3887,570
3897,514
3908,466
3918,422
3929,382
3939,347
3949,412
3959,468
3971,515
3981,560
3991,600
4001,636
4012,569
4022,514
4032,465
4043,421
4054,382
4064,346
4074,412
4084,467
4094,515
4106,560
4116,600
4126,636
4136,570
4147,514
4157,466
4167,422
4178,382
4189,346
4199,412
4209,467
4219,515
4230,559
4241,600
4251,636
4261,569
4272,514
4282,467
4292,421
4303,382
4314,346
4324,412
4334,468
4344,515
4355,560
4365,599
4376,636
4386,569
4397,514
4407,466
4417,421
4427,382
4439,347
4449,412
4459,467
4469,515
4480,559
4490,599
4500,636
4511,569
4521,513
4532,466
4542,421
4552,382
4562,346
4574,412
4584,467
4594,515
4604,559
4615,600
4625,636
4636,569
4646,514
4657,466
4667,421
4677,382
4687,346
4698,412
4709,467
4719,516
4729,559
4740,599
4750,636
4760,569
4771,514
4782,466
4792,422
4802,381
4812,346
4823,412
4833,467
4844,516
4854,559
4865,600
4875,636
4885,569
4895,514
4907,466
4917,422
4927,382
4937,346
4947,412
4958,467
4969,515
4979,560
4989,600
5000,636
5010,570
5020,514
5030,467
5042,420
5052,382
5062,346
5072,413
5083,467
5093,515
5104,560
5114,600
5125,636
5135,570
5145,514
5155,466
5166,422
5177,381
5187,347
5197,412
5208,466
5218,515
5228,560
5239,600
5250,635
5260,570
5270,513
5280,466
5291,423
5302,382
5312,346
5322,413
5332,467
5343,515
5353,560
5363,601
5374,636
5385,569
5395,514
5405,466
5415,422
5426,382
5437,347
5447,413
5457,466
5468,516
5478,559
5488,600
5498,636
5510,569
5520,514
5530,467
5540,422
5551,383
5561,347
5572,412
5582,467
5593,516
5603,559
5613,600
5623,636
5635,570
5645,514
5655,467
5665,421
5676,382
5686,346
5696,411
5707,467
5718,515
5728,559
5738,600
5748,636
5758,569
5770,515
5780,465
5790,422
5800,382
5811,346
5821,412
5831,467
5842,515
5853,559
5863,600
5873,637
5883,569
5894,514
